player1,player2,player3,player4,bdnrp_value
Bryce Harper,Alec Bohm,Jacob Realmuto,Brandon Marsh,0.06740298805792865
Bryce Harper,Alec Bohm,Jacob Realmuto,Kyle Schwarber,0.10672289464898041
Bryce Harper,Alec Bohm,Jacob Realmuto,Bryson Stott,0.044228547472697416
Bryce Harper,Alec Bohm,Jacob Realmuto,Trea Turner,0.056615772195134494
Bryce Harper,Alec Bohm,Jacob Realmuto,Nick Castellanos,0.04707487847441723
Bryce Harper,Alec Bohm,Jacob Realmuto,Max Kepler,0.026785940624984166
Bryce Harper,Alec Bohm,Brandon Marsh,Jacob Realmuto,0.05929705644865496
Bryce Harper,Alec Bohm,Brandon Marsh,Kyle Schwarber,0.10781126592662754
Bryce Harper,Alec Bohm,Brandon Marsh,Bryson Stott,0.04454449027540781
Bryce Harper,Alec Bohm,Brandon Marsh,Trea Turner,0.057346072608642516
Bryce Harper,Alec Bohm,Brandon Marsh,Nick Castellanos,0.047951239726249185
Bryce Harper,Alec Bohm,Brandon Marsh,Max Kepler,0.027152219562519828
Bryce Harper,Alec Bohm,Kyle Schwarber,Jacob Realmuto,0.05684034094044322
Bryce Harper,Alec Bohm,Kyle Schwarber,Brandon Marsh,0.06637977573229022
Bryce Harper,Alec Bohm,Kyle Schwarber,Bryson Stott,0.04121442626805873
Bryce Harper,Alec Bohm,Kyle Schwarber,Trea Turner,0.05473239806240758
Bryce Harper,Alec Bohm,Kyle Schwarber,Nick Castellanos,0.04561831653541017
Bryce Harper,Alec Bohm,Kyle Schwarber,Max Kepler,0.02347701762734439
Bryce Harper,Alec Bohm,Bryson Stott,Jacob Realmuto,0.05921717823370368
Bryce Harper,Alec Bohm,Bryson Stott,Brandon Marsh,0.06822091325842632
Bryce Harper,Alec Bohm,Bryson Stott,Kyle Schwarber,0.10775616315368695
Bryce Harper,Alec Bohm,Bryson Stott,Trea Turner,0.05723402578375376
Bryce Harper,Alec Bohm,Bryson Stott,Nick Castellanos,0.047862851246100645
Bryce Harper,Alec Bohm,Bryson Stott,Max Kepler,0.027047214262410395
Bryce Harper,Alec Bohm,Trea Turner,Jacob Realmuto,0.05770257933928482
