player1,player2,player3,player4,bdnrp_value
Andy Pages,Teoscar Hernandez,Enrique Hernandez,Dalton Rushing,-0.03575710860504443
Andy Pages,Teoscar Hernandez,Enrique Hernandez,Miguel Rojas,-0.0180524384468684
Andy Pages,Teoscar Hernandez,Enrique Hernandez,Thomas Edman,-0.0038472726341073453
Andy Pages,Teoscar Hernandez,Enrique Hernandez,Shohei Ohtani,0.04890398897205614
Andy Pages,Teoscar Hernandez,Enrique Hernandez,Markus Betts,0.026562772884982832
Andy Pages,Teoscar Hernandez,Enrique Hernandez,Frederick Freeman,0.028115519407693173
Andy Pages,Teoscar Hernandez,Dalton Rushing,Enrique Hernandez,-0.005532200086192198
Andy Pages,Teoscar Hernandez,Dalton Rushing,Miguel Rojas,-0.01952650855632687
Andy Pages,Teoscar Hernandez,Dalton Rushing,Thomas Edman,-0.005224776442979219
Andy Pages,Teoscar Hernandez,Dalton Rushing,Shohei Ohtani,0.048071548052398785
Andy Pages,Teoscar Hernandez,Dalton Rushing,Markus Betts,0.025454486267720573
Andy Pages,Teoscar Hernandez,Dalton Rushing,Frederick Freeman,0.027067985333789638
Andy Pages,Teoscar Hernandez,Miguel Rojas,Enrique Hernandez,-0.006261326299965107
Andy Pages,Teoscar Hernandez,Miguel Rojas,Dalton Rushing,-0.03879786475637302
Andy Pages,Teoscar Hernandez,Miguel Rojas,Thomas Edman,-0.005922081375918895
Andy Pages,Teoscar Hernandez,Miguel Rojas,Shohei Ohtani,0.04817005284952809
Andy Pages,Teoscar Hernandez,Miguel Rojas,Markus Betts,0.025168672498685082
Andy Pages,Teoscar Hernandez,Miguel Rojas,Frederick Freeman,0.026710770862680908
Andy Pages,Teoscar Hernandez,Thomas Edman,Enrique Hernandez,-0.004002078838511746
Andy Pages,Teoscar Hernandez,Thomas Edman,Dalton Rushing,-0.03584092611290691
Andy Pages,Teoscar Hernandez,Thomas Edman,Miguel Rojas,-0.0180014020411723
Andy Pages,Teoscar Hernandez,Thomas Edman,Shohei Ohtani,0.04942148390372302
Andy Pages,Teoscar Hernandez,Thomas Edman,Markus Betts,0.026949768353309252
Andy Pages,Teoscar Hernandez,Thomas Edman,Frederick Freeman,0.028517987279402295
Andy Pages,Teoscar Hernandez,Shohei Ohtani,Enrique Hernandez,-0.004804978925244995
Andy Pages,Teoscar Hernandez,Shohei Ohtani,Dalton Rushing,-0.03866791662917766
Andy Pages,Teoscar Hernandez,Shohei Ohtani,Miguel Rojas,-0.019908229816146244
Andy Pages,Teoscar Hernandez,Shohei Ohtani,Thomas Edman,-0.00463613053245356
Andy Pages,Teoscar Hernandez,Shohei Ohtani,Markus Betts,0.027362629818859077
Andy Pages,Teoscar Hernandez,Shohei Ohtani,Frederick Freeman,0.028721879476449764
Andy Pages,Teoscar Hernandez,Markus Betts,Enrique Hernandez,-0.005601535804407181
Andy Pages,Teoscar Hernandez,Markus Betts,Dalton Rushing,-0.039561405774615
Andy Pages,Teoscar Hernandez,Markus Betts,Miguel Rojas,-0.02067825103966508
Andy Pages,Teoscar Hernandez,Markus Betts,Thomas Edman,-0.005428486252608865
Andy Pages,Teoscar Hernandez,Markus Betts,Shohei Ohtani,0.05059966331671577
Andy Pages,Teoscar Hernandez,Markus Betts,Frederick Freeman,0.028071707750202034
Andy Pages,Teoscar Hernandez,Frederick Freeman,Enrique Hernandez,-0.007778677336628109
Andy Pages,Teoscar Hernandez,Frederick Freeman,Dalton Rushing,-0.04325269303293979
Andy Pages,Teoscar Hernandez,Frederick Freeman,Miguel Rojas,-0.02356337406266427
