player1,player2,player3,player4,bdnrp_value
Bryson Stott,Alec Bohm,Brandon Marsh,Jacob Realmuto,0.06707374275094362
Bryson Stott,Alec Bohm,Brandon Marsh,Trea Turner,0.07442635887865189
Bryson Stott,Alec Bohm,Brandon Marsh,Bryce Harper,0.1015725182437328
Bryson Stott,Alec Bohm,Brandon Marsh,Kyle Schwarber,0.11910356059721867
Bryson Stott,Alec Bohm,Brandon Marsh,Nicholas Castellanos,0.06694216296926578
Bryson Stott,Alec Bohm,Brandon Marsh,Edmundo Sosa,0.06589944481586753
Bryson Stott,Alec Bohm,Jacob Realmuto,Brandon Marsh,0.07715921031499298
Bryson Stott,Alec Bohm,Jacob Realmuto,Trea Turner,0.07350817380883425
Bryson Stott,Alec Bohm,Jacob Realmuto,Bryce Harper,0.10048493931707034
Bryson Stott,Alec Bohm,Jacob Realmuto,Kyle Schwarber,0.11800920506562937
Bryson Stott,Alec Bohm,Jacob Realmuto,Nicholas Castellanos,0.06592430554880013
Bryson Stott,Alec Bohm,Jacob Realmuto,Edmundo Sosa,0.06478395066542578
Bryson Stott,Alec Bohm,Trea Turner,Brandon Marsh,0.0762205238339679
Bryson Stott,Alec Bohm,Trea Turner,Jacob Realmuto,0.06522320331598407
Bryson Stott,Alec Bohm,Trea Turner,Bryce Harper,0.09973450557508735
Bryson Stott,Alec Bohm,Trea Turner,Kyle Schwarber,0.1173326296459648
Bryson Stott,Alec Bohm,Trea Turner,Nicholas Castellanos,0.06495643168188303
Bryson Stott,Alec Bohm,Trea Turner,Edmundo Sosa,0.06381725516309773
Bryson Stott,Alec Bohm,Bryce Harper,Brandon Marsh,0.07548918360036272
Bryson Stott,Alec Bohm,Bryce Harper,Jacob Realmuto,0.06444395213657332
Bryson Stott,Alec Bohm,Bryce Harper,Trea Turner,0.07206321303233584
Bryson Stott,Alec Bohm,Bryce Harper,Kyle Schwarber,0.11772932437598675
Bryson Stott,Alec Bohm,Bryce Harper,Nicholas Castellanos,0.06441573336907669
Bryson Stott,Alec Bohm,Bryce Harper,Edmundo Sosa,0.06308505647965097
Bryson Stott,Alec Bohm,Kyle Schwarber,Brandon Marsh,0.07514080416709838
Bryson Stott,Alec Bohm,Kyle Schwarber,Jacob Realmuto,0.06377642690034603
Bryson Stott,Alec Bohm,Kyle Schwarber,Trea Turner,0.07126066787736018
Bryson Stott,Alec Bohm,Kyle Schwarber,Bryce Harper,0.09971813463007762
Bryson Stott,Alec Bohm,Kyle Schwarber,Nicholas Castellanos,0.06410788621551297
Bryson Stott,Alec Bohm,Kyle Schwarber,Edmundo Sosa,0.0631851287350934
Bryson Stott,Alec Bohm,Nicholas Castellanos,Brandon Marsh,0.07782926490764049
Bryson Stott,Alec Bohm,Nicholas Castellanos,Jacob Realmuto,0.06710680521560108
Bryson Stott,Alec Bohm,Nicholas Castellanos,Trea Turner,0.07436045483670252
Bryson Stott,Alec Bohm,Nicholas Castellanos,Bryce Harper,0.10099775210659061
Bryson Stott,Alec Bohm,Nicholas Castellanos,Kyle Schwarber,0.11827842789298815
Bryson Stott,Alec Bohm,Nicholas Castellanos,Edmundo Sosa,0.06539794572335259
Bryson Stott,Alec Bohm,Edmundo Sosa,Brandon Marsh,0.08012033167613958
Bryson Stott,Alec Bohm,Edmundo Sosa,Jacob Realmuto,0.06954963851306206
Bryson Stott,Alec Bohm,Edmundo Sosa,Trea Turner,0.07689523127680066
Bryson Stott,Alec Bohm,Edmundo Sosa,Bryce Harper,0.10314342045137473
Bryson Stott,Alec Bohm,Edmundo Sosa,Kyle Schwarber,0.12031086636897578
Bryson Stott,Alec Bohm,Edmundo Sosa,Nicholas Castellanos,0.06907448217182358
Bryson Stott,Brandon Marsh,Alec Bohm,Jacob Realmuto,0.07494606031402061
Bryson Stott,Brandon Marsh,Alec Bohm,Trea Turner,0.08254638422632336
Bryson Stott,Brandon Marsh,Alec Bohm,Bryce Harper,0.10970627120913101
Bryson Stott,Brandon Marsh,Alec Bohm,Kyle Schwarber,0.12840047641561275
Bryson Stott,Brandon Marsh,Alec Bohm,Nicholas Castellanos,0.07403453798402763
Bryson Stott,Brandon Marsh,Alec Bohm,Edmundo Sosa,0.07253365356769781
Bryson Stott,Brandon Marsh,Jacob Realmuto,Alec Bohm,0.0660678606767541
Bryson Stott,Brandon Marsh,Jacob Realmuto,Trea Turner,0.08209854395327114
Bryson Stott,Brandon Marsh,Jacob Realmuto,Bryce Harper,0.10945987639976831
Bryson Stott,Brandon Marsh,Jacob Realmuto,Kyle Schwarber,0.12806843439747267
Bryson Stott,Brandon Marsh,Jacob Realmuto,Nicholas Castellanos,0.07385679065254487
Bryson Stott,Brandon Marsh,Jacob Realmuto,Edmundo Sosa,0.07262753099016155
Bryson Stott,Brandon Marsh,Trea Turner,Alec Bohm,0.06497463263735158
Bryson Stott,Brandon Marsh,Trea Turner,Jacob Realmuto,0.0736109688444294
Bryson Stott,Brandon Marsh,Trea Turner,Bryce Harper,0.10865431359094549
Bryson Stott,Brandon Marsh,Trea Turner,Kyle Schwarber,0.1273245534265485
Bryson Stott,Brandon Marsh,Trea Turner,Nicholas Castellanos,0.07282865866734901
Bryson Stott,Brandon Marsh,Trea Turner,Edmundo Sosa,0.07160155789969759
Bryson Stott,Brandon Marsh,Bryce Harper,Alec Bohm,0.06287872854702016
Bryson Stott,Brandon Marsh,Bryce Harper,Jacob Realmuto,0.0717463235611593
Bryson Stott,Brandon Marsh,Bryce Harper,Trea Turner,0.07948154199719518
Bryson Stott,Brandon Marsh,Bryce Harper,Kyle Schwarber,0.12645653233442714
Bryson Stott,Brandon Marsh,Bryce Harper,Nicholas Castellanos,0.07126356410308798
Bryson Stott,Brandon Marsh,Bryce Harper,Edmundo Sosa,0.0698557395947029
Bryson Stott,Brandon Marsh,Kyle Schwarber,Alec Bohm,0.06262795160802606
Bryson Stott,Brandon Marsh,Kyle Schwarber,Jacob Realmuto,0.07139025905462426
Bryson Stott,Brandon Marsh,Kyle Schwarber,Trea Turner,0.07900912321393543
Bryson Stott,Brandon Marsh,Kyle Schwarber,Bryce Harper,0.10785020080009546
Bryson Stott,Brandon Marsh,Kyle Schwarber,Nicholas Castellanos,0.0712327385714462
