player1,player2,player3,player4,bdnrp_value
Nick Castellanos,Alec Bohm,Kody Clemens,David Dahl,-0.001722492777971204
Nick Castellanos,Alec Bohm,Kody Clemens,Aramis Garcia,-0.11056128435626666
Nick Castellanos,Alec Bohm,Kody Clemens,Bryce Harper,0.036070258720688704
Nick Castellanos,Alec Bohm,Kody Clemens,Buddy Kennedy,-0.027276851993247742
Nick Castellanos,Alec Bohm,Kody Clemens,Austin Hays,-0.007612985304240852
Nick Castellanos,Alec Bohm,Kody Clemens,Rafael Marchán,0.03161824423458855
Nick Castellanos,Alec Bohm,David Dahl,Kody Clemens,-0.0004616015665240532
Nick Castellanos,Alec Bohm,David Dahl,Aramis Garcia,-0.11798267347557638
Nick Castellanos,Alec Bohm,David Dahl,Bryce Harper,0.03055950712870903
Nick Castellanos,Alec Bohm,David Dahl,Buddy Kennedy,-0.03260496794167924
Nick Castellanos,Alec Bohm,David Dahl,Austin Hays,-0.01389027673137333
Nick Castellanos,Alec Bohm,David Dahl,Rafael Marchán,0.025737637865992275
Nick Castellanos,Alec Bohm,Aramis Garcia,Kody Clemens,0.007620254619413455
Nick Castellanos,Alec Bohm,Aramis Garcia,David Dahl,0.0009191376930345468
Nick Castellanos,Alec Bohm,Aramis Garcia,Bryce Harper,0.03472148284268366
Nick Castellanos,Alec Bohm,Aramis Garcia,Buddy Kennedy,-0.013796354282237919
Nick Castellanos,Alec Bohm,Aramis Garcia,Austin Hays,-0.0010305496007888505
Nick Castellanos,Alec Bohm,Aramis Garcia,Rafael Marchán,0.02968827723179185
Nick Castellanos,Alec Bohm,Bryce Harper,Kody Clemens,-0.004027120129515059
Nick Castellanos,Alec Bohm,Bryce Harper,David Dahl,-0.011908483045771398
Nick Castellanos,Alec Bohm,Bryce Harper,Aramis Garcia,-0.13509227111003266
Nick Castellanos,Alec Bohm,Bryce Harper,Buddy Kennedy,-0.04464913352665301
Nick Castellanos,Alec Bohm,Bryce Harper,Austin Hays,-0.020834534753673487
Nick Castellanos,Alec Bohm,Bryce Harper,Rafael Marchán,0.02474431734389125
Nick Castellanos,Alec Bohm,Buddy Kennedy,Kody Clemens,-0.00011984143831394317
Nick Castellanos,Alec Bohm,Buddy Kennedy,David Dahl,-0.006922876412479286
Nick Castellanos,Alec Bohm,Buddy Kennedy,Aramis Garcia,-0.12388793136131207
Nick Castellanos,Alec Bohm,Buddy Kennedy,Bryce Harper,0.0316949018140485
Nick Castellanos,Alec Bohm,Buddy Kennedy,Austin Hays,-0.015490650168704875
Nick Castellanos,Alec Bohm,Buddy Kennedy,Rafael Marchán,0.027537137804283823
Nick Castellanos,Alec Bohm,Austin Hays,Kody Clemens,-0.0013640799906253069
Nick Castellanos,Alec Bohm,Austin Hays,David Dahl,-0.008823193600747363
Nick Castellanos,Alec Bohm,Austin Hays,Aramis Garcia,-0.12297666702916621
Nick Castellanos,Alec Bohm,Austin Hays,Bryce Harper,0.030839107982328723
Nick Castellanos,Alec Bohm,Austin Hays,Buddy Kennedy,-0.03568918346684579
Nick Castellanos,Alec Bohm,Austin Hays,Rafael Marchán,0.026068555980935874
Nick Castellanos,Alec Bohm,Rafael Marchán,Kody Clemens,-0.0018260922759979624
Nick Castellanos,Alec Bohm,Rafael Marchán,David Dahl,-0.009459820638685558
Nick Castellanos,Alec Bohm,Rafael Marchán,Aramis Garcia,-0.1273323057664467
Nick Castellanos,Alec Bohm,Rafael Marchán,Bryce Harper,0.030862140584350214
Nick Castellanos,Alec Bohm,Rafael Marchán,Buddy Kennedy,-0.03853125983532732
Nick Castellanos,Alec Bohm,Rafael Marchán,Austin Hays,-0.016881542877019477
Nick Castellanos,Kody Clemens,Alec Bohm,David Dahl,-0.01915457893007792
Nick Castellanos,Kody Clemens,Alec Bohm,Aramis Garcia,-0.12907750755575717
Nick Castellanos,Kody Clemens,Alec Bohm,Bryce Harper,0.01758902547275967
Nick Castellanos,Kody Clemens,Alec Bohm,Buddy Kennedy,-0.04794222646888423
Nick Castellanos,Kody Clemens,Alec Bohm,Austin Hays,-0.026746123615117776
Nick Castellanos,Kody Clemens,Alec Bohm,Rafael Marchán,0.013742429842656412
Nick Castellanos,Kody Clemens,David Dahl,Alec Bohm,-0.009512468085002763
Nick Castellanos,Kody Clemens,David Dahl,Aramis Garcia,-0.11649236593494038
Nick Castellanos,Kody Clemens,David Dahl,Bryce Harper,0.01565934040873393
Nick Castellanos,Kody Clemens,David Dahl,Buddy Kennedy,-0.04135420505840821
Nick Castellanos,Kody Clemens,David Dahl,Austin Hays,-0.02421705403426738
Nick Castellanos,Kody Clemens,David Dahl,Rafael Marchán,0.011830124483486672
Nick Castellanos,Kody Clemens,Aramis Garcia,Alec Bohm,-0.0023816185467003172
Nick Castellanos,Kody Clemens,Aramis Garcia,David Dahl,-0.011007733912269294
Nick Castellanos,Kody Clemens,Aramis Garcia,Bryce Harper,0.01567507722775867
Nick Castellanos,Kody Clemens,Aramis Garcia,Buddy Kennedy,-0.02443531817828101
Nick Castellanos,Kody Clemens,Aramis Garcia,Austin Hays,-0.013650514478514592
Nick Castellanos,Kody Clemens,Aramis Garcia,Rafael Marchán,0.012401755529690776
Nick Castellanos,Kody Clemens,Bryce Harper,Alec Bohm,-0.013286040277374171
Nick Castellanos,Kody Clemens,Bryce Harper,David Dahl,-0.02122756499120878
Nick Castellanos,Kody Clemens,Bryce Harper,Aramis Garcia,-0.1360473258927873
Nick Castellanos,Kody Clemens,Bryce Harper,Buddy Kennedy,-0.05232483564819288
Nick Castellanos,Kody Clemens,Bryce Harper,Austin Hays,-0.029856596085475737
Nick Castellanos,Kody Clemens,Bryce Harper,Rafael Marchán,0.012825150018336774
Nick Castellanos,Kody Clemens,Buddy Kennedy,Alec Bohm,-0.01024388741447748
Nick Castellanos,Kody Clemens,Buddy Kennedy,David Dahl,-0.01709875630064836
Nick Castellanos,Kody Clemens,Buddy Kennedy,Aramis Garcia,-0.12426834831633497
Nick Castellanos,Kody Clemens,Buddy Kennedy,Bryce Harper,0.017812990276738862
Nick Castellanos,Kody Clemens,Buddy Kennedy,Austin Hays,-0.025495078038024702
Nick Castellanos,Kody Clemens,Buddy Kennedy,Rafael Marchán,0.014311611576734348
Nick Castellanos,Kody Clemens,Austin Hays,Alec Bohm,-0.010346416464217308
Nick Castellanos,Kody Clemens,Austin Hays,David Dahl,-0.019232050661822746
Nick Castellanos,Kody Clemens,Austin Hays,Aramis Garcia,-0.1228351874585072
Nick Castellanos,Kody Clemens,Austin Hays,Bryce Harper,0.01635602135643654
Nick Castellanos,Kody Clemens,Austin Hays,Buddy Kennedy,-0.04446732710158714
Nick Castellanos,Kody Clemens,Austin Hays,Rafael Marchán,0.012378790085177315
Nick Castellanos,Kody Clemens,Rafael Marchán,Alec Bohm,-0.010734904068232215
Nick Castellanos,Kody Clemens,Rafael Marchán,David Dahl,-0.019217059929149582
Nick Castellanos,Kody Clemens,Rafael Marchán,Aramis Garcia,-0.12754857957964705
Nick Castellanos,Kody Clemens,Rafael Marchán,Bryce Harper,0.01743223669465988
Nick Castellanos,Kody Clemens,Rafael Marchán,Buddy Kennedy,-0.046779293945969254
